# BorASM release notes history
# Format: YYYY-MM-DD HH:MM:SS +ZZZZ | vMAJOR.MINOR.PATCH | commit message

2025-10-15 06:29:48 +0200 | vunknown | Initial commit
2025-10-21 10:41:16 +0200 | v0.1.0 | Enhance InstructionsAssemblerCore with detailed logging and error handling for instruction assembly
2025-10-21 10:56:00 +0200 | v0.1.0 | Enhance AssemblyEngine with detailed logging and implement second pass for instruction assembly
2025-10-21 12:56:33 +0200 | v0.1.0 | Add PrintMachineCode method to AssemblyEngine and BorAsm, and invoke it in main
2025-10-21 13:16:44 +0200 | v0.1.0 | Remove error message for invalid decimal digit in IsNumber method and add success message for printing machine code in main
2025-10-21 15:54:01 +0200 | v0.1.0 | Add SaveMachineCodeToFile method to AssemblyEngine and BorAsm, and invoke it in main
2025-10-21 16:45:29 +0200 | v0.1.0 | Refactor SaveMachineCodeToFile method in AssemblyEngine to return a boolean indicating success, and enhance file handling in FileHandler with new methods for writing.
2025-10-21 16:52:02 +0200 | v0.1.0 | Remove PrintMachineCode and SaveMachineCodeToFile methods from BorAsm, and update StartProcessing to handle machine code saving with success/error messages.
2025-10-21 16:54:39 +0200 | v0.1.0 | Fix logging messages in SaveMachineCodeToFile to correctly reference output file operations
2025-10-21 17:22:35 +0200 | v0.1.0 | Update CmdArgumentsParser to return false on help/version requests and remove error message on parse failure
2025-10-21 17:24:14 +0200 | v0.1.0 | Reorder spdlog include statements in ArgumentsParserLogic, AssemblyEngine, and FileHandler for consistency
2025-10-21 17:34:35 +0200 | v0.1.0 | Enhance logging in ArgumentsParserLogic for better debugging and information retrieval
2025-10-21 17:40:41 +0200 | v0.1.0 | Refactor variable names for consistency: change 'machineCode' to 'machine_code_' in AssemblyEngine and InstructionsAssemblerCore
2025-10-21 17:45:20 +0200 | v0.1.0 | Refactor label reference variable names for consistency: change 'labelReferences' to 'label_references_' in AssemblyEngine and InstructionsAssemblerCore
2025-10-21 17:54:07 +0200 | v0.1.0 | Update CmdArgumentsParser to return false for help/version requests and adjust tests accordingly
2025-10-21 17:58:05 +0200 | v0.1.0 | Refactor AssemblyEngine to improve variable naming consistency: change 'labels' to 'labels_' and adjust initialization order
2025-10-21 18:27:12 +0200 | v0.1.0 | Add protected constructor to BorAsm for testing with custom AssemblyEngine
2025-10-21 18:29:58 +0200 | v0.1.0 | Implement IAssemblyEngine interface and update BorAsm constructor for improved flexibility
2025-10-21 18:31:55 +0200 | v0.1.0 | Add AssemblyEngineMock class for testing IAssemblyEngine interface
2025-10-21 18:36:21 +0200 | v0.1.0 | Add unit tests for BorAsm with injected AssemblyEngine
2025-10-21 18:40:31 +0200 | v0.1.0 | Add unit tests for BorAsm to validate processing behavior
2025-10-21 18:46:15 +0200 | v0.1.0 | Update BorAsmTest to set input and output file paths in SetUp method
2025-10-21 18:58:17 +0200 | v0.1.0 | Refactor FileHandler to use consistent naming for file streams
2025-10-21 19:01:11 +0200 | v0.1.0 | Refactor FileHandler to separate file opening methods for read and write operations
2025-10-21 19:04:32 +0200 | v0.1.0 | Rename GetFileStream to GetFileToReadStream for clarity and consistency
2025-10-21 19:31:29 +0200 | v0.1.0 | Add unit tests for FileHandler to validate file opening behavior
2025-10-21 19:59:05 +0200 | v0.1.0 | Fix file opening logic in FileHandler and update tests for non-existent files
2025-10-22 17:49:18 +0200 | v0.1.0 | Implement IFileHandler interface for FileHandler and create IFileHandler class
2025-10-22 17:52:17 +0200 | v0.1.0 | Add FileHandlerMock class to facilitate unit testing of IFileHandler interface
2025-10-22 17:54:57 +0200 | v0.1.0 | Add ICharacterStringLineHandler interface for line processing operations
2025-10-22 17:55:59 +0200 | v0.1.0 | Implement ICharacterStringLineHandler interface in CharacterStringLineHandler class
2025-10-22 17:58:16 +0200 | v0.1.0 | Refactor AssemblyEngine to use ICharacterStringLineHandler interface and update constructor for dependency injection
2025-10-22 18:08:30 +0200 | v0.1.0 | Add mocks for ICharacterStringLineHandler and AssemblyEngine unit tests
2025-10-22 18:26:27 +0200 | v0.1.0 | Remove input file stream validation from AssemblyEngine and add test for nonexistent input file handling
2025-10-22 18:33:06 +0200 | v0.1.0 | Refactor AssemblyEngine to include IInstructionsAssemblerCore for improved instruction assembly handling
2025-10-22 18:37:17 +0200 | v0.1.0 | Refactor AssemblyEngine to support dependency injection for IInstructionsAssemblerCore and update tests to include InstructionsAssemblerCoreMock
2025-10-22 19:06:40 +0200 | v0.1.0 | Add LabelsDetector class for label detection functionality
2025-10-22 19:46:17 +0200 | v0.1.0 | Integrate LabelsDetector into AssemblyEngine for enhanced label detection and refactor related methods
2025-10-22 20:16:02 +0200 | v0.1.0 | Refactor LabelsDetector to use references for machine code, labels, and label references; enhance label detection logging in AssemblyEngine
2025-10-22 20:26:32 +0200 | v0.1.0 | Remove unnecessary blank line before label detection in AssemblyEngine
2025-10-22 20:32:02 +0200 | v0.1.0 | Rename LabelsDetector to CodeAnalyzer and update related references in AssemblyEngine and LabelsDetector implementations
2025-10-22 20:34:01 +0200 | v0.1.0 | Rename LabelsDetector to CodeAnalyzer and update references in AssemblyEngine; add CodeAnalyzer class implementation
2025-10-22 20:44:01 +0200 | v0.1.0 | Implement Tokenize method in CodeAnalyzer; refactor assembly processing in AssemblyEngine to utilize Tokenize for improved line handling
2025-10-22 20:50:55 +0200 | v0.1.0 | Add ResolveLabelReferences method to CodeAnalyzer; refactor AssemblyEngine to utilize it for label resolution
2025-10-23 18:01:25 +0200 | v0.1.0 | Refactor AssemblyEngine to remove unused dependencies; simplify constructor parameters and update related tests
2025-10-23 18:04:36 +0200 | v0.1.0 | Implement ICodeAnalyzer interface; update CodeAnalyzer methods to override interface functions
2025-10-23 18:07:19 +0200 | v0.1.0 | Remove unused includes from ICodeAnalyzer.h; add CodeAnalyzerMock class for testing ICodeAnalyzer interface
2025-10-23 18:15:23 +0200 | v0.1.0 | Refactor AssemblyEngine constructor to accept ICodeAnalyzer dependency; update tests to inject CodeAnalyzerMock
2025-10-23 18:32:15 +0200 | v0.1.0 | Enhance AssemblyEngineTest with additional test cases for file assembly scenarios, including label detection, tokenization, and label resolution failures.
2025-10-23 19:14:23 +0200 | v0.1.0 | Refactor AssemblyEngine to include machine_code parameter in constructor; update related tests to accommodate changes
2025-10-23 19:34:42 +0200 | v0.1.0 | Add CodeAnalyzerTest with mock dependencies for unit testing
2025-10-23 20:03:44 +0200 | v0.1.0 | Add unit tests for CodeAnalyzer to validate label detection and handling of assembler exceptions
2025-10-23 20:19:53 +0200 | v0.1.0 | Refactor CodeAnalyzerTest to improve readability and consistency in label detection tests
2025-10-24 16:39:44 +0200 | v0.1.0 | Rename test cases in CodeAnalyzerTest for improved clarity and consistency
2025-10-24 16:56:54 +0200 | v0.1.0 | Add unit tests for Tokenize and ResolveLabelReferences methods in CodeAnalyzerTest
2025-10-24 17:26:02 +0200 | v0.1.0 | Refactor AssembleInstruction method to return a boolean indicating success or failure; update related tests and mocks accordingly.
2025-10-24 17:37:31 +0200 | v0.1.0 | Refactor InstructionsAssemblerCore to support dependency injection for line handler; add corresponding test setup for mock handling.
2025-10-24 18:23:03 +0200 | v0.1.0 | Add unit tests for AssembleInstruction method in InstructionsAssemblerCoreTest to validate behavior with various token inputs
2025-10-24 18:30:58 +0200 | v0.1.0 | Add CPU operation codes and registers definitions; update tests to use opcode mapping
2025-10-24 18:49:57 +0200 | v0.1.0 | Add assembling message functions and update assembly logging in InstructionsAssemblerCore
2025-10-24 18:52:00 +0200 | v0.1.0 | Fix logging message for successful shift instruction assembly in InstructionsAssemblerCore
2025-10-24 19:04:34 +0200 | v0.1.0 | Add unit tests for ADD mnemonic handling in InstructionsAssemblerCoreTest
2025-10-24 19:12:13 +0200 | v0.1.0 | Add unit tests for SUB mnemonic handling in InstructionsAssemblerCoreTest
2025-10-24 19:16:28 +0200 | v0.1.0 | Add unit tests for AND and OR mnemonics in InstructionsAssemblerCoreTest
2025-10-24 19:17:52 +0200 | v0.1.0 | Add unit tests for MOV mnemonic handling in InstructionsAssemblerCoreTest
2025-10-24 19:19:43 +0200 | v0.1.0 | Refactor unit tests: restore HALT, JUMP, SHL, and SHR mnemonic tests in InstructionsAssemblerCoreTest
2025-10-24 19:21:05 +0200 | v0.1.0 | Add CMP mnemonic test and restore HALT mnemonic test in InstructionsAssemblerCoreTest
2025-10-24 19:39:29 +0200 | v0.1.0 | Enhance unit tests for MOV, JMP, JZ, and CMP mnemonics in InstructionsAssemblerCoreTest
2025-10-24 19:43:46 +0200 | v0.1.0 | Add unit tests for JNZ, JC, JNC, JN, and JNN mnemonics in InstructionsAssemblerCoreTest
2025-10-24 19:48:31 +0200 | v0.1.0 | Refactor immediate value handling in instruction assembly tests to use dynamic conversion
2025-10-24 19:55:02 +0200 | v0.1.0 | Add unit tests for AND mnemonic with various register combinations in InstructionsAssemblerCoreTest
2025-10-24 20:20:57 +0200 | v0.1.0 | Add unit tests for CharacterStringLineHandler functionality in CharacterStringLineHandlerTest
2025-10-27 19:35:11 +0100 | v0.1.0 | Fix tokenization in CharacterStringLineHandlerTest to correctly handle commas in assembly instructions
2025-10-27 19:41:46 +0100 | v0.1.0 | Refactor version test file by removing redundant comments and improving readability
2025-10-27 20:34:18 +0100 | v0.1.0 | Remove redundant explanations and contributing section from README.md
2025-10-27 20:37:24 +0100 | v0.1.0 | Update README.md to clarify target architecture and provide project link
2025-10-27 20:43:28 +0100 | v0.1.0 | Update README.md to specify the full name of the Boruss CPU and clarify its educational purpose
2025-10-29 20:21:29 +0100 | v0.1.0 | Example added
2025-10-30 18:40:18 +0100 | v0.1.0 | Enhance example output in README.md with detailed opcode explanations and clarify MOV instruction as an alias for XOR and ADD
2025-11-21 15:36:29 +0100 | v0.1.0 | Add PrintWithGreenMarker function and update input/output file messages
2025-11-21 16:14:29 +0100 | v0.1.0 | Add SetInputFileAsOutputFileName method to ArgumentsParserLogic and update CmdArgumentsParser to use it for output file name
2025-11-21 16:21:37 +0100 | v0.1.0 | Add CheckOutputFileNameIsNotSameAsInputFileName method to ArgumentsParserLogic and update CmdArgumentsParser to validate output file name
2025-11-22 17:25:50 +0100 | v0.1.0 | Refactor output file handling in CmdArgumentsParser to improve validation and set default output name
2025-11-22 17:34:04 +0100 | v0.1.0 | Validate input file before setting output file in CmdArgumentsParser and update tests accordingly
2025-11-22 17:39:54 +0100 | v0.1.0 | Add GitHub Actions workflow for unit tests and update README with badge
2025-11-22 17:43:52 +0100 | v0.1.0 | Add permissions section to GitHub Actions workflow for unit tests
2025-11-22 17:50:48 +0100 | v0.1.1 | Bump version to 0.1.1 in package.json
2025-11-22 18:02:45 +0100 | v0.1.1 | Add tests for input and output file name handling in ArgumentsParserLogic
2025-11-22 18:10:10 +0100 | v0.1.1 | Rename workflow from "Unit Tests" to "CI" and update job name to "build-and-test"
2026-07-21 18:19:43 +0200 | v0.1.1 | Add instruction set reference and examples to README
2026-07-21 18:48:49 +0200 | v0.1.1 | Add uart_test.asm example for basic loop and reset functionality
2026-07-21 18:49:21 +0200 | v0.1.1 | Update usage instructions for BorASM binary to include flags for input and output files
2026-08-07 10:17:51 +0200 | v0.1.2 | Add pre-commit hook to automatically increment package version
2026-08-07 10:23:06 +0200 | v0.1.3 | Add pre-commit hook for automatic version bump and installation instructions
2026-08-07 13:58:43 +0200 | v0.1.5 | Add commit-msg hook for automatic release notes generation and update README
2026-08-07 14:03:29 +0200 | v0.1.6 | Add post-commit hook for automatic release notes generation and update README
2026-08-07 14:05:58 +0200 | v0.1.7 | Update release notes file references to use RELEASE_NOTES.txt
2026-08-07 14:24:35 +0200 | v0.1.8 | Add fmt library as ThirdParty
2026-08-07 14:25:25 +0200 | v0.1.9 | Update .gitignore to include compiled static libraries with .a extension
2026-08-07 14:36:12 +0200 | v0.1.10 | Add fmt library integration in CMake configuration for project and tests
2026-08-07 14:44:52 +0200 | v0.1.11 | Refactor message printing functions to use fmt library for improved formatting
